gauge,hy_year,q,q_ml,gap_days,p,pet
235212,1979,460.399414182859,12917.87,0,1211.78462051721,964.7
235212,1980,500.862400613016,14053.179,0,1269.01880079349,1025.3
235212,1981,322.910213028757,9060.203,0,1077.31538679623,1015.8
235212,1982,141.239223840621,3962.885,0,835.251280564018,1010.8
235212,1983,403.619349054833,11324.737,0,1189.29572600769,956.4
235212,1984,510.462812244315,14322.547,0,1198.78119661009,965.1
235212,1985,467.248557007626,13110.043,0,1239.21538651098,959.9
235212,1986,590.589831897348,16570.748,0,1369.78547396008,979.6
235212,1987,343.29415850525,9632.135,0,1039.14957180129,975.9
235212,1988,298.04540066409,8362.547,0,1094.29999979089,995.1
235216,1967,88.7910588081414,3392.001,0,669.110191378956,986.2
235216,1968,511.595684931616,19544.007,0,1591.87643284142,869.5
235216,1969,460.839306779939,17605.009,0,1076.5394899856,874.4
235216,1970,942.174735554069,35993.012,0,1734.70382473684,865.5
235216,1971,691.539398677956,26418.2268275862,2,1576.52802362502,877.7
235216,1972,261.564194414448,9992.29,0,1090.41783900573,937.9
235216,1973,553.734333187129,21153.79,0,1306.65604943317,909.5
235216,1974,803.462724834355,30693.928,0,1453.34968163847,893
235216,1975,720.083783113685,27508.681,0,1378.85668723841,892.9
235216,1976,3114.64836287255,118985.971147619,3,1214.64204076507,872.1
235216,1977,377.950207805033,14438.475,0,1134.32356796689,931.5
235216,1978,1039.32979445905,39704.535,0,1648.33885420028,868.5
235216,1979,414.795973393368,15846.059,0,1146.95031759489,902.8
235216,1980,450.99711399067,17229.017,0,1323.45732435912,968.3
235216,1981,368.659582188105,14083.554,0,1103.95286722268,950.7
235216,1982,104.663895604117,3998.376,0,815.620380464728,975.5
235216,1983,745.096520654568,28464.219,0,1409.81019012687,899.1
235216,1984,544.360596860117,20795.694,0,1176.76433023117,905.3
235216,1985,916.570877995826,35014.892,0,1396.77324654214,890.1
235216,1986,606.45474175695,23167.818,0,1411.74585875451,902
235216,1987,440.397291821256,16824.082,0,1231.19618234921,920.9
235216,1988,451.515620115189,17248.825,0,1213.17706871906,942.1
235216,1989,742.300624014137,28357.41,0,1546.34139863857,927.8
235216,1990,569.095548304807,21740.62,0,1343.10382387597,938.4
235216,1991,745.454983036896,28477.913,0,1355.17261044876,902.6
235216,1992,703.035721612218,26857.41,0,1597.95477875944,846.9
235216,1993,496.122067486661,18952.883,0,1298.64394888794,921.4
235216,1994,332.500664449186,12702.209,0,1071.70382332536,926.4
235216,1995,764.201984512091,29194.087,0,1588.55159477614,887.1
235216,1996,615.130662238475,23499.256,0,1323.63821727773,914.3
235216,1997,249.646903886442,9537.025,0,980.468153340849,966.8
235216,1998,345.757437857731,13208.645,0,1068.00445960832,955
235216,1999,226.530896720986,8653.946,0,961.622293368552,947.2
235216,2000,550.903229017544,21045.636,0,1152.24458586553,998
235216,2001,750.824065791334,28683.023,0,1545.63248313114,918.1
235216,2002,340.89573617213,13022.918,0,1062.48407770361,956.8
235216,2003,398.850627410957,15236.914,0,1234.30891810362,1002.5
235216,2004,513.581441929089,19619.867,0,1364.94650118366,977.1
235216,2005,222.728876221408,8508.701,0,893.333121709098,1000.7
235216,2006,207.95993289156,7944.497,0,930.650317440082,1033.7
235216,2007,390.931341598717,14934.381,0,1117.71720059676,1021.7
235216,2008,230.985787841101,8824.132,0,867.066878749354,1013
235216,2009,326.301286068556,12465.38,0,1216.29363104682,988.2
235216,2010,574.622161847682,21951.748,0,1418.39745171311,915.1
